prompt,prompt_length,token_rarity,num_objects,abstractness,attribute_density,spatial_relations,action_verbs,named_entities
a mushroom growing in the woods,6,1,1,2,0,1,1,0
a bookcase with books on it,6,1,2,2,0,2,0,0
a fence is in the background,6,0,2,3,0,1,0,0
a green apple hanging on a tree branch,8,0,1,2,1,1,1,0
a harp with a woman playing a guitar in the background,11,1,3,5,0,2,1,0
a white plastic whistle on a table,7,1,1,2,2,1,0,0
a man standing in front of a white tent,9,0,2,3,1,2,1,0
a man with long hair and a long sleeve shirt is playing a flute,14,2,3,6,2,1,1,0
two wooden sticks on a table,6,0,1,1,1,1,0,0
a large dam with water flowing through it,8,0,2,3,1,2,1,0
a dog on a leash,5,1,1,2,0,1,0,0
a man standing in front of an ice sculpture,9,1,2,3,0,2,1,0
a silver belt buckle with green stone,7,1,2,2,2,1,1,0
a small tricycle with a yellow seat,7,1,1,3,2,1,0,0
two leopards in a zoo,5,1,1,1,0,1,0,0
a man is working on a thatched roof,8,1,2,3,1,1,2,0
a silver buckle on a black surface,7,1,2,2,1,1,0,0
a group of monkeys sitting on a ledge,8,2,2,3,0,1,1,0
two mittens with colorful feathers on them,7,3,2,1,1,2,0,0
"a desk with a computer, a keyboard, a mouse, and a monitor",12,3,1,7,0,1,0,0
a turtle is walking on a pile of rocks,9,1,3,4,0,1,1,0
"a table with a lobster, nuts, olives, and other foods",10,5,1,5,1,1,0,0
a man is standing in the water with an elephant,10,0,3,5,0,2,1,0
a black metal safe box with a keypad,8,1,1,3,2,1,0,0
a gong with a chinese character on it,8,1,2,3,1,2,0,0
a large military vehicle,4,0,0,1,2,0,0,0
a nautilus shell,3,1,0,1,1,0,0,0
a set of six screwdrivers in a case,8,1,2,3,0,1,0,0
a stick insect on a leaf in the jungle,9,1,2,3,0,2,0,0
a green lizard on a wooden post,7,1,1,2,2,1,0,0
a small animal walking across a grassy field,8,1,2,2,2,1,1,0
a set of wooden furniture,5,0,1,2,1,0,0,0
a badger rolling around in the grass,7,1,2,3,0,2,0,0
a dead mushroom on the ground,6,1,1,2,1,1,0,0
a large elephant walking in a zoo,7,0,2,2,1,1,1,0
a black and silver radio with a clock on it,10,0,2,4,1,2,0,0
a cat laying on a newspaper,6,0,1,2,0,1,1,0
a wooden ceiling,3,0,0,1,1,0,0,0
a black bear hanging from a tree in the woods,10,0,2,4,1,2,1,0
a black car parked in front of a house,9,1,2,3,1,2,1,0
an abacus with wooden pieces on top of a table,10,1,3,4,1,3,0,0
an elephant walking in a fenced in area,8,1,2,2,0,2,2,0
a man holding a bow,5,0,1,2,0,0,1,0
a wooden box with a lock on it,8,0,2,3,1,2,0,0
a large spider on a tree trunk in the woods,10,0,2,3,1,2,0,0
a seal is swimming in the water,7,0,2,3,0,1,1,0
a meerkat is standing on a rock,7,1,2,3,0,1,1,0
a silver car is on display at an auto show,10,0,3,4,1,2,0,0
a large fish is sitting on the rocks,8,0,2,3,1,1,1,0
a fruit on a tree,5,0,1,2,0,1,0,0
a fireplace with a black door,6,1,1,3,1,1,0,0
a bunch of mushrooms on the ground,7,1,2,3,0,1,0,0
a man on a motorcycle,5,0,1,2,0,1,0,0
a dog standing on a table in a yard,9,0,2,3,0,2,1,0
a red and black dog standing in the leaves,9,0,1,3,2,1,1,0
a siamese cat laying on a couch,7,1,1,2,1,1,1,0
a turtle with its head sticking out of a glass,10,1,2,5,0,2,1,0
a polar bear is swimming in the water,8,1,2,3,1,1,1,0
a crab with large claws on its back,8,2,2,3,1,2,0,0
two lobsters sitting on a wooden cutting board,8,1,1,1,1,1,1,0
a wooden armoire with doors on a brick sidewalk,9,2,2,3,1,2,0,0
a wine glass with a blue napkin,7,1,1,3,1,1,0,0
a castle with a tower,5,0,1,3,0,1,0,0
a small lizard with black and brown spots on it,10,1,2,3,3,2,0,0
a painting of hot dogs and sausages,7,1,1,3,1,0,0,0
a group of vegetables on a table,7,0,2,3,0,1,0,0
a tool kit in a case with tools and other items,11,0,2,5,1,2,0,0
a large spider with long legs and long legs,9,0,1,3,3,1,0,0
a man riding an elephant down a street,8,0,2,3,0,1,1,0
a woman holding a teddy bear,6,1,1,2,0,0,1,0
a woman playing the flute in a room,8,1,2,3,0,1,1,0
a black bear walking on a rock,7,0,2,2,1,1,1,0
a staircase in a home with hardwood floors and white railings,11,3,2,4,1,2,0,0
a small animal on the ground,6,0,1,2,1,1,0,0
a person holding a cell phone in front of a gas tank,12,0,3,4,0,2,1,0
a wooden bookcase with three shelves on a carpet,9,2,2,3,1,2,0,0
a helmet sitting on a table next to a computer,10,0,2,4,0,3,1,0
two small dogs sitting on a couch,7,0,1,1,1,1,1,0
"a bedroom with a bed, a mirror, a dresser and a rocking chair",13,4,1,7,1,1,1,0
a white dog being groomed by a woman,8,1,1,4,1,1,1,0
a cat sitting on a wooden floor,7,0,1,2,1,1,1,0
a white dog standing in the grass,7,0,1,2,1,1,1,0
a typewriter in a case on a table,8,1,2,3,0,2,0,0
a man standing next to a large military vehicle,9,0,1,3,2,2,1,0
a computer monitor on a desk,6,0,1,2,0,1,0,0
a group of white puppies,5,1,1,2,1,0,0,0
two men are practicing archery in a room,8,2,3,2,0,1,1,0
a man is using a stick to stir a large stone bowl,12,1,3,5,1,1,2,0
a red glass with a silver design on it,9,0,2,3,2,2,0,0
a pair of shoes on a shelf,7,0,2,3,0,1,0,0
a revolver with a wooden grip and a metal trigger,10,1,1,5,1,1,0,0
two pay phones in a room,6,0,1,1,0,1,0,0
a man is playing golf,5,0,2,2,0,0,1,0
a living room with a tv and a fireplace,9,1,1,5,0,1,0,0
two white daisies with yellow centers are in the middle of a green field,14,1,4,5,3,2,0,0
a view of a mountain range,6,0,1,3,0,0,0,0
a green glass cup with a black base,8,0,1,3,2,1,0,0
a spider with a red and black body is sitting on its web,13,0,3,6,2,2,1,0
an old typewriter sits on top of a stack of books,11,1,4,4,1,2,1,0
two dogs playing in the grass,6,0,1,1,0,1,1,0
a turtle with its head sticking out of its shell,10,1,2,5,0,2,1,0
a monkey is sitting in a tree looking up,9,0,2,3,0,2,2,0
a sailboat is sailing in the ocean,7,2,2,3,0,1,1,0
a spider on a wooden floor,6,0,1,2,1,1,0,0
a man with a bandage on his arm,8,1,2,3,0,2,0,0
a fireplace with a fire in it,7,1,2,3,0,2,0,0
a woman playing a harp in a room,8,1,2,3,0,1,1,0
a frog in the grass,5,1,1,2,0,1,0,0
a plate with meatloaf and mashed potatoes,7,2,1,3,1,1,0,0
a cheetah is sitting on the ground,7,1,2,3,0,1,1,0
a green bug with long legs on a white surface,10,0,2,3,3,2,0,0
four men in tuxedos holding instruments,6,1,2,0,0,1,1,0
a coyote stands on a rock in the mountains,9,1,3,3,0,2,1,0
a rabbit sitting in the grass near rocks,8,0,2,2,0,2,1,0
a fox is standing on the sidewalk,7,1,2,3,0,1,1,0
a black metal box with a blue sticker on it,10,1,2,3,2,2,0,0
"a black belt with a buckle, buckle and two metal clips",11,3,1,4,1,1,1,0
three different types of screws and screws,7,2,1,3,1,0,0,0
a bottle opener and bottle opener with a mother of pearl handle,12,2,3,5,1,1,1,0
a close up of a black and white makeup brush,10,0,1,4,2,1,0,0
a red pen and a black pen sitting on a table,11,0,1,4,2,1,1,0
a glass with a lid,5,1,1,3,0,1,0,0
a mushroom with a white spot on it,8,1,2,3,1,2,0,0
a woman standing next to a large dog,8,0,1,3,1,2,1,0
a typewriter in a box,5,1,1,2,0,1,0,0
a large spider sitting on the ground with its legs spread,11,0,3,4,1,2,2,0
a plaque with the words in memory of those who served,11,1,4,7,0,2,1,0
a black and white photo of a computer,8,0,1,4,2,0,0,0
a white and pink floral bedspread,6,2,0,2,3,0,0,0
"a picture of an abacus with red, green and white beads",11,3,2,5,3,1,0,0
a squirrel sitting on a tree branch,7,1,1,2,0,1,1,0
"a red and yellow apron with the words ""china"" on it",11,3,2,4,2,2,0,1
a gas mask and a plastic container,7,0,0,3,1,0,0,0
a purple flower with yellow center in the middle of green grass,12,0,3,4,3,2,0,0
a plaque on the wall of a building that reads thomas jefferson,12,1,4,5,0,1,1,1
a man in a black jacket and mask is escorted by police,12,1,2,5,1,2,1,0
a small red and orange lizard on a tree trunk,10,1,1,3,3,1,0,0
a pan filled with mashed potatoes,6,1,1,2,1,1,2,0
a lion walking down a dirt road in the wild,10,0,2,4,1,2,1,0
a typewriter with a white keyboard and black keys,9,1,1,4,2,1,0,0
a helmet with a heart design on it,8,0,2,3,0,2,0,0
a thatched roof house with blue windows and flowers in the garden,12,1,2,4,2,2,1,0
a man riding a sailboat in the water,8,1,2,3,0,1,1,0
a person is using a laptop computer,7,0,2,3,0,0,1,0
a black monkey hanging on a tree branch,8,0,1,2,1,1,1,0
a red truck parked on the beach next to a construction vehicle,12,1,2,4,1,3,1,0
two dogs standing next to each other in the dirt,10,0,2,4,1,3,1,0
a series of pictures showing different types of compass,9,1,3,4,1,0,1,0
a half of a grapefruit is shown,7,1,1,4,0,0,1,0
l'oreal paris mtal de l'air,5,2,0,0,0,0,0,1
a shell and a shellfish are on a rock,9,1,2,5,0,1,0,0
a yellow fish with black spots on its head,9,0,2,3,2,2,0,0
a crab with large eyes and long legs on a sandy beach,12,1,2,4,3,2,0,0
a metal screen with a pine tree design,8,0,1,3,1,1,0,0
a dog standing on top of a grassy field,9,1,2,3,1,2,1,0
a shark swimming in the water,6,0,1,2,0,1,0,0
irish wolfhound dog breed,4,1,1,0,2,0,1,0
a cat is laying in a bag,7,0,2,3,0,1,1,0
a wooden bookcase,3,1,0,1,1,0,0,0
great white shark in the water,6,0,1,2,2,1,0,0
a sailboat with a white sail,6,1,1,3,1,1,0,0
a close up of a cauliflower and a flower,9,1,1,5,1,1,0,0
a spider with yellow and black stripes on its back,10,1,2,4,2,2,0,0
a blue tractor on a flatbed truck,7,2,1,2,2,1,0,0
a broom with a handle on top of a green plastic sheet,12,1,3,5,1,3,0,0
a four poster bed with wooden posts and a wooden frame,11,0,1,4,2,1,0,0
a plant with a bug on it,7,0,2,3,0,2,0,0
an old typewriter with a wooden table in front of it,11,1,3,4,2,3,0,0
a watercolor painting of a tea pot with a house on it,12,1,3,5,0,2,0,0
a sailboat in the water,5,1,1,2,0,1,0,0
a silver metal container with a lid and a lid,10,2,1,5,1,1,0,0
a harmonica with a blue case and a silver case,10,1,1,5,1,1,0,0
a dog sitting on a white blanket,7,0,1,2,1,1,1,0
a monkey on a wire,5,0,1,2,0,1,0,0
a close up of a compass with the numbers on it,11,1,3,5,0,3,0,0
a long grasshopper is sitting on a plant,8,1,2,3,1,1,1,0
a view of a valley,5,0,1,3,0,0,0,0
a small tank parked on the grass,7,1,1,2,1,1,1,0
a blue and white boat,5,0,0,2,2,0,0,0
a man playing a musical instrument,6,0,1,2,1,0,1,0
a black and yellow frog with yellow spots,8,1,1,3,3,1,0,0
a couch with pillows on it,6,1,2,2,0,2,0,0
"a combination lock with the word ""vault"" on it",9,3,3,3,0,2,1,0
a dog sitting on the ground,6,0,1,2,0,1,1,0
range balls are a great way to practice your golf game,11,0,2,6,1,1,1,0
a small monkey sitting on a person's hand,9,0,1,2,1,1,1,0
a dog with a long white coat,7,0,1,3,2,1,0,0
a basket with a bunch of wooden sticks,8,0,2,4,1,1,0,0
three metal compass with red and black dials,8,2,1,2,2,1,0,0
a small turtle sitting on top of a person's finger,11,1,2,3,1,2,1,0
a dog standing in the grass,6,0,1,2,0,1,1,0
a typewriter on a table,5,1,1,2,0,1,0,0
a gray typewriter with black keys on an orange background,10,1,2,3,3,2,0,0
a large bell hanging from a wall,7,0,2,3,1,1,1,0
a stairway with glass railings and metal handrails,8,3,1,3,0,1,0,0
a boy holding a plate of crabs,7,1,2,3,0,0,1,0
a bear is standing on a rock in a river,10,0,3,4,0,2,1,0
a grasshopper is sitting on top of a plant,9,1,3,4,0,2,1,0
a yellow and black fish with black stripes,8,1,1,3,3,1,0,0
a shaggy dog standing in the snow,7,1,1,2,1,1,1,0
a medieval armor plate on a wooden table,8,1,1,3,2,1,0,0
a white dog standing on a blue blanket,8,0,1,2,2,1,1,0
a red fox sitting on the grass,7,0,1,2,1,1,1,0
a praying mantis on a tile floor,7,3,1,2,1,1,1,0
a black widow spider on the wall,7,0,2,2,1,1,0,0
a dog is eating a piece of watermelon,8,1,3,4,0,0,1,0
a typewriter with a keyboard on a table,8,1,2,4,0,2,0,0
a crate full of green fruit,6,1,1,2,2,0,0,0
a bunch of lipstick on a table,7,1,2,3,0,1,0,0
two green and black rubber balls on a white surface,10,0,1,2,3,1,0,0
a spider with yellow and black stripes on its back,10,1,2,4,2,2,0,0
a fence is in the middle of a field,9,0,3,5,0,1,0,0
a closet with a coat rack and a cabinet,9,1,1,5,0,1,0,0
a moth with a long tail and wings in the water,11,1,2,5,1,2,0,0
a group of ants walking on a green leaf,9,1,2,3,1,1,1,0
a black shawl with fringe on it,7,2,2,2,1,2,0,0
a large elephant standing in a field of tall grass,10,0,2,3,2,1,1,0
a bug on a car,5,0,1,2,0,1,0,0
a meerkat sitting on the ground,6,1,1,2,0,1,1,0
a man holding a device that looks like a mask,10,0,3,5,0,0,2,0
a stick with a long stem,6,0,1,3,1,1,0,0
a group of men in a military vehicle,8,0,2,3,1,1,0,0
a person holding a waffle maker,6,1,1,2,0,0,1,0
two cats laying on a couch,6,0,1,1,0,1,1,0
two wooden mallets,3,1,0,0,1,0,0,0
two men riding bicycles,4,1,2,0,0,0,1,0
a large lego ship with a flag on top,9,1,2,3,2,2,0,0
a black and yellow lizard on the ground,8,1,1,3,2,1,0,0
a snow leopard sitting on a rock,7,1,1,2,0,1,1,0
a dog standing on a brick walkway,7,1,1,2,0,1,1,0
a plant with leaves and a bird sitting on it,10,0,2,4,0,2,1,0
a crab with its legs spread out,7,1,2,3,0,2,1,0
a man wearing a white shirt,6,0,1,2,1,0,1,0
a white apron with blue writing on it,8,1,2,2,2,2,0,0
a bottle cap on a salt shaker,7,1,1,2,0,1,0,0
a white cabinet with a door and a knob,9,1,1,5,1,1,0,0
two silver coffee and pepper mills on a white surface,10,0,1,2,2,1,0,0
a tiger laying down,4,0,0,1,0,1,1,0
a dog with a leash on a dirt road,9,1,2,4,0,2,0,0
a brown and green leafy plant,6,1,0,2,2,0,0,0
a mushroom growing in the woods,6,1,1,2,0,1,1,0
a black sea urchin on the beach,7,1,1,2,1,1,0,0
a brown fur coat hanging on a door,8,0,2,2,1,1,1,0
a dog standing in a field of dry grass,9,0,2,3,1,1,1,0
a person holding a stick insect in their hand,9,1,2,2,0,1,1,0
pda/pda+pda+pda+pda+pda+pda,2,3,0,0,0,0,1,0
a military vehicle is parked in a parking lot,9,1,1,3,1,1,1,0
a staircase with a railing,5,2,1,3,0,1,1,0
a monkey sitting on a tree branch,7,0,1,2,0,1,1,0
a lobster is sitting in a bowl of seaweed,9,2,3,4,0,1,1,0
a white wine glass sitting on a bed,8,0,1,2,1,1,1,0
two women playing croquet in a yard,7,1,2,1,0,1,1,0
a knee pad with a black and white logo,9,0,1,4,2,1,0,0
a black barrel on a white background,7,0,1,2,2,1,0,0
a young boy standing on a balance beam with a pacifier,11,1,2,4,1,2,1,0
a sailboat with a green and white logo,8,1,1,4,2,1,0,0
a red and black tractor with hay on it,9,2,2,3,2,2,0,0
a green apron with a yellow logo on it,9,1,2,3,2,2,0,0
a group of three different types of staplers on a table,11,1,3,5,1,1,0,0
a spider on a piece of paper,7,0,2,3,0,1,0,0
a snake is sitting on the ground next to a tree,11,0,3,5,0,3,1,0
a white and orange printer with a black and white background,11,1,1,5,4,1,0,0
a stick insect with long legs standing on top of a plant,12,1,3,4,1,3,1,0
a harp with a wooden stand and strings,8,1,1,4,1,1,0,0
a dog standing on a grassy field with rocks in the background,12,1,3,4,1,3,1,0
a crab is poking its head out of a hole,10,2,3,5,0,1,1,0
a head of cauliflower on a white background,8,1,2,3,1,1,0,0
a red car parked on the street,7,1,1,2,1,1,1,0
a shark swimming with a group of fish,8,0,2,4,0,1,1,0
"a machine gun, rifle and other weapons are displayed",9,1,0,4,1,0,1,0
great white shark jumping out of the water,8,0,2,3,2,1,1,0
a green apple on a red surface,7,0,1,2,2,1,0,0
a blue beetle with black spots on its back,9,1,2,3,2,2,0,0
four girls holding a ball and posing for a picture,10,1,2,4,0,0,2,0
a woman holding a dog with a ribbon on a stage,11,1,3,5,0,2,1,0
a tan bulletproof vest with blue straps,7,3,1,2,1,1,0,0
a skateboarder riding down a set of stairs,8,1,2,3,1,1,1,0
a jug sitting on a table with a price tag on it,12,1,3,4,0,3,1,0
a man looking through binoculars,5,1,1,1,0,1,1,0
a group of colorful gerbera daisies,6,3,1,2,1,0,0,0
a yellow ball is sitting on a green field,9,0,2,3,2,1,1,0
a fox standing in the grass near a log,9,0,2,3,0,2,1,0
a spider on a wooden post with a white background,10,0,2,4,2,2,0,0
a crab is crawling on the ground near a plastic container,11,2,3,4,1,2,1,0
a person's hand reaching out to touch a stick insect,11,1,2,3,0,2,2,0
a black monkey sitting in the grass,7,0,1,2,1,1,1,0
a woman with a dog,5,0,1,3,0,1,0,0
a group of wooden pipes with a string attached to them,11,1,3,5,1,2,1,0
a crab is sitting on the ground near a plastic cup,11,1,3,4,1,2,1,0
a mushroom is growing in the forest,7,1,2,3,0,1,1,0
a green military vehicle,4,0,0,1,2,0,0,0
a green lizard on a branch,6,1,1,2,1,1,0,0
a white bowl filled with cooked cauliflower,7,1,1,2,2,1,1,0
lg vx7000 - lg's first flip phone,7,4,0,0,2,0,0,1
two puppies playing in a dog bed,7,1,1,1,0,1,1,0
a white vase with a blue design on it,9,1,2,3,2,2,0,0
a typewriter sitting on a table,6,1,1,2,0,1,1,0
various types of nuts and bolts on a blue surface,10,1,2,4,2,1,0,0
a brown jug sitting on a table,7,1,1,2,1,1,1,0
a pair of women's sandals with pink ribbon,9,2,2,3,1,1,0,0
a four poster bed,4,0,0,1,0,0,0,0
a large silver object,4,0,0,1,1,0,0,0
a white insect with a long antenna on a green leaf,11,2,2,4,3,2,0,0
a bat is eating from a tree with fruit on it,11,0,4,5,0,3,1,0
shepherd neale co - ales and beers,6,5,0,1,0,0,0,0
a white apron with the words go deep on it,10,1,3,3,1,2,1,0
a monkey walking on a rope in an enclosure,9,1,2,3,0,2,1,0
a man and his dog standing in the grass,9,0,1,3,0,1,1,0
a group of soldiers walking in the field,8,0,2,3,0,1,1,0
a bottle of apple juice with a green label,9,0,2,4,1,1,0,0
a woman on a balance beam,6,0,1,2,0,1,0,0
a blurry image of a small animal running through the woods,11,1,2,4,2,1,1,0
a little girl riding a toy tricycle,7,1,1,2,1,0,1,0
a black snake with a long neck and long tail,10,0,1,4,3,1,0,0
a white rocking chair,4,1,0,1,2,0,1,0
a gold and pink porcelain teapot with a gold base,10,2,1,4,1,1,0,0
a cat is laying down,5,0,1,2,0,1,1,0
a pair of salt and pepper shakers with boots,9,1,2,4,0,1,0,0
a lynx is sitting on a log in the water,10,1,3,4,0,2,1,0
a pink apron with chinese writing on it,8,1,2,2,2,2,0,0
a black bear is walking through a forest,8,0,2,3,1,1,1,0
a small turtle is sitting on a person's hand,10,1,2,3,1,1,1,0
a black mobile phone with a blue screen,8,0,1,3,3,1,0,0
a wooden mortar and pestle sitting on top of a white surface,12,2,2,4,2,2,1,0
a rabbit in the grass with some weeds,8,1,2,4,0,2,0,0
a large piece of meat on a grill,8,1,2,3,1,1,0,0
a turtle laying on the ground in the dirt,9,1,2,3,0,2,1,0
an old typewriter and a potted plant on a table,10,2,1,4,2,1,0,0
a monkey hanging from a tree branch,7,0,1,3,0,1,1,0
an army tank drives down a road with smoke coming out of it,13,0,4,5,0,3,2,0
a dog is walking on the street,7,0,2,3,0,1,1,0
a red sea urchin on a rock,7,1,1,2,1,1,0,0
a man riding a cart with two cows,8,2,2,3,0,1,1,0
a black and white monkey sitting in the grass,9,0,1,3,2,1,1,0
a cat laying on the floor,6,0,1,2,0,1,1,0
the pyle p - sx10 active speaker,6,3,0,1,1,0,0,0
benefit dance powder blush in pink,6,1,0,1,1,1,1,0
"a large, old, brown jug with a handle",8,3,1,3,3,1,0,0
a yellow and black fish with black stripes,8,1,1,3,3,1,0,0
three old stoneware jugs with lids,6,3,1,1,2,1,0,0
a spider with a black and white pattern on its back,11,0,2,5,2,2,0,0
a spatula with holes on it,6,1,2,2,0,2,0,0
a small compass box with a bow tied to it,10,1,2,4,1,2,1,0
a black bear cub,4,1,0,1,1,0,0,0
a large snake with a long tail on the sand,10,0,2,4,2,2,0,0
various types of body lotions and lotions are shown,9,2,1,4,1,0,1,0
a wicker basket with handles and a handle,8,2,1,4,0,1,0,0
a monkey sitting in the grass,6,0,1,2,0,1,1,0
a ferret in a person's hand,7,1,1,2,0,1,0,0
a small turtle with yellow spots on its shell,9,1,2,3,2,2,0,0
a typewriter with the words make space for love on it,11,1,5,5,0,2,1,0
"an old typewriter with the word ""olympia"" on it",9,4,2,3,1,2,0,0
two small boxes with the words wild west on them,10,0,2,3,2,2,0,0
a crab with a ring on its head is sitting in the sand,13,1,4,6,0,3,1,0
a joystick on top of a wooden table,8,1,2,3,1,2,0,0
a white safe box with electronic keypad,7,1,1,2,3,1,0,0
a brown dress with black spots on it,8,0,2,2,2,2,0,0
a close up of a fly with red eyes,9,0,2,4,1,2,0,0
a large printer sitting on top of a desk,9,1,2,3,1,2,1,0
"a knife, a keychain, and a pen on a table",10,3,1,5,0,1,0,0
"a knife, a screwdriver, and a wooden stick",8,3,0,4,1,0,0,0
a white and black printer sitting on top of a wooden desk,12,1,2,4,3,2,1,0
a small black dog wearing a sweater,7,1,1,2,2,0,1,0
an elephant standing on a rock in a field,9,0,2,3,0,2,1,0
a couple of people in a red car on the water,11,0,3,4,1,2,0,0
a woman dressed in a medieval costume poses with a harp,11,2,2,5,1,2,1,0
a group of pots and pans on a shelf,9,2,2,4,0,1,0,0
a snake with a long tail on the ground,9,0,2,4,1,2,0,0
a bunch of purple and yellow cauliflower,7,1,1,3,2,0,0,0
a small black and white dog standing on a concrete surface,11,0,1,3,4,1,1,0
coleman sleeping bag sleeping bag camping sleeping bag sleeping bag sleeping bag sleeping bag sleeping bag sleeping bag,18,1,9,0,0,0,8,0
a lizard with a red and blue head and tail,10,1,1,5,2,1,1,0
bmw 1 series convertible,4,2,0,0,1,0,0,0
a wicker basket with four pieces of furniture,8,1,2,3,0,1,0,0
a woman is holding a dog on a show stand,10,0,3,4,0,1,1,0
a large concrete dam,4,0,0,1,2,0,0,0
a bear standing on a rock in a zoo,9,0,2,3,0,2,1,0
a snow leopard in a zoo enclosure,7,2,1,2,0,1,0,0
two monkeys hugging each other in an old photo,9,2,3,3,2,1,1,0
a spider with a fly on its back,8,0,2,4,0,2,0,0
a large spider with long legs and long legs,9,0,1,3,3,1,0,0
a man jumping to catch a volleyball,7,1,1,3,0,1,2,0
a mushroom that is growing in the grass,8,1,2,4,0,1,1,0
a painting of a cat and a dog sitting on a table,12,0,2,6,0,1,1,0
a cauliflower on a cutting board,6,1,1,2,1,1,0,0
a large concrete wall,4,0,0,1,2,0,0,0
a chainmail glove laying on the ground,7,2,1,2,0,1,1,0
